penalty,l1_ratio,alpha,max_iter,random_state,n_jobs,n_samples,n_features,n_classes,n_clusters_per_class,n_informative,flip_y,scale,time
none,0.4746040011865156,0.0001,659,241,-1,737,721,9,2,11,0.060256564387390445,81.79496520605441,0.6106376647949219
l2,0.8861895937830563,0.0001,395,514,-1,243,603,7,3,7,0.0597679892768834,24.365889754041067,0.20702528953552246
l1,0.10326060599653326,0.001,488,137,-1,718,302,4,4,7,0.09649309386263107,79.22265219887528,0.9085454940795898
l2,0.12897123662872964,0.001,501,475,4,713,460,10,5,10,0.03235644065193318,73.08399142601525,0.8036108016967773
l2,0.5465746264299309,0.001,879,9,4,173,816,8,5,12,0.0036094219048086965,26.326709365188243,0.4024317264556885
none,0.43938872185502753,0.0001,669,816,4,438,606,5,3,10,0.021112134592946807,72.01012219739236,0.5030076503753662
l2,0.33887027454435836,0.01,259,279,2,577,583,7,2,7,0.020114406432742173,24.277584239615802,0.5026123523712158
elasticnet,0.48381956138635973,0.001,503,268,2,964,853,2,3,9,0.06269478857987917,79.99145645631557,2.8486876487731934
elasticnet,0.7155333516185165,0.01,206,988,2,212,230,6,4,7,0.013454938200091072,36.84898208541796,0.30525970458984375
l2,0.8624648245018589,0.001,815,123,-1,375,379,4,3,7,0.09446375704155886,57.93320456456636,0.20606327056884766
none,0.21917005163172387,0.0001,494,46,2,434,350,4,5,10,0.09472182022223781,80.12340893016479,0.2019028663635254
none,0.11818954163066353,0.001,442,618,4,289,479,9,5,12,0.018858631093335056,34.84618068345825,0.3026878833770752
l2,0.2664012048442669,0.0001,137,935,2,184,571,4,3,9,0.06711379462091878,95.89182802795591,0.10196185111999512
none,0.41658885945188207,0.001,186,296,4,969,694,10,5,8,0.07216683674112863,18.212089766442357,0.5038750171661377
none,0.6145303912875797,0.01,746,873,4,287,691,3,3,10,0.03728426591345239,33.80350091547296,0.20258808135986328
elasticnet,0.3974642680820798,0.0001,557,732,-1,109,971,5,4,7,0.04883501547318336,91.57623825931518,0.5068745613098145
l2,0.4231934934271895,0.01,561,334,-1,725,521,2,4,10,0.06898425748675034,40.03334527775197,0.2725825309753418
none,0.8222610053059713,0.01,945,334,-1,385,527,6,5,9,0.0617111544056319,95.02194468625527,0.30764150619506836
l2,0.6853309526347382,0.001,173,486,1,934,474,3,3,9,0.05627273232989777,88.0054570882998,0.3359382152557373
elasticnet,0.5676189859686452,0.01,297,536,2,464,123,2,5,10,0.017770723395873045,44.28213097538712,0.15412259101867676
none,0.39063463852461044,0.0001,655,420,8,167,139,2,4,6,0.06389932382832102,97.05164662633007,0.02268052101135254
l1,0.5864356179009529,0.0001,517,963,4,870,163,9,3,10,0.0793289925357084,49.168191452817595,1.9050803184509277
l1,0.8659717243726993,0.01,973,184,2,321,390,2,3,9,0.057964429956106206,13.49848601451828,0.6804502010345459
none,0.6325075048097714,0.01,671,512,8,435,642,6,3,9,0.07533406921498406,83.44486185206807,0.3034543991088867
none,0.8645687232524528,0.001,413,624,4,709,751,7,2,8,0.09187132122501035,38.58282308862931,0.603783130645752
elasticnet,0.49869053595707535,0.0001,858,318,8,248,531,4,3,7,0.04955833233254303,12.265729954918797,0.9042201042175293
none,0.13025162206623098,0.001,121,661,1,160,916,8,2,9,0.0033706514800316946,41.757195140643134,0.17818403244018555
elasticnet,0.31789358879633156,0.001,404,632,2,553,619,8,2,10,0.060732644385565186,4.434959834711433,3.908815860748291
l1,0.1704277379863946,0.01,182,492,8,415,486,10,3,8,0.04906598632412145,77.648370083683,0.5052785873413086
l2,0.4928779389907765,0.0001,565,338,8,796,687,10,2,7,0.07566003738880361,98.56668988622087,0.9050705432891846
none,0.11737233037508421,0.001,993,573,8,517,206,4,4,8,0.019964179249883397,56.45201057553864,0.30361437797546387
elasticnet,0.5296062553642974,0.0001,889,294,-1,753,981,7,3,9,0.0995785141534703,36.82889558526779,5.216220378875732
l1,0.30995316751399526,0.0001,769,150,-1,434,256,3,3,10,0.08717678925730307,15.512904569755126,0.6065852642059326
elasticnet,0.4028842852344088,0.001,887,93,1,413,147,7,5,11,0.006877505677098739,16.462151638871056,2.63171124458313
l2,0.249810873739737,0.0001,138,179,8,753,299,3,2,5,0.046400582144419056,54.918501487026184,0.10261178016662598
l1,0.31813859585640875,0.0001,158,731,2,172,750,10,3,8,0.09343035911126935,41.538064278802814,0.7028243541717529
l2,0.4853665270727652,0.01,170,249,-1,571,505,8,2,10,0.038234478527163475,54.06494188055414,0.10758066177368164
l1,0.13211847380944147,0.0001,250,655,8,444,327,8,2,9,0.057033496143687926,66.87115544565575,0.40354037284851074
elasticnet,0.4350371164534701,0.01,886,342,1,963,537,9,2,11,0.07827908586457248,74.20898760401167,26.912611722946167
l1,0.32108804388279777,0.01,442,852,4,639,199,2,2,7,0.030558233800370538,93.64952523278959,0.3322458267211914
